Feature	Gain	Cover	Frequency
ctrx_quarter	0.227344168938225	0.018479344554865	0.0128504058484248
mcuentas_saldo	0.0438827366340984	0.0141474249944873	0.0197664837572974
mtarjeta_visa_consumo	0.0304535218992109	0.012416941422226	0.0163215932399502
mcaja_ahorro	0.0257105932431382	0.00803740983465868	0.0128504058484248
mdescubierto_preacordado	0.0215319542718064	0.00220488698657705	0.00151645307761084
foto_mes	0.0199375579843522	0.0146518795629158	0.0165494994828281
mpayroll	0.0195311777686077	0.013339604933813	0.00573271857085254
ctarjeta_visa	0.0186585494281095	0.000668312052130553	0.000788906225346681
mprestamos_personales	0.0161522783849226	0.00858600552908368	0.00360267176241651
cpayroll_trx	0.0133573414324592	0.00744752005059758	0.00429515611577637
mcuenta_corriente	0.0121865371687131	0.00712284481081014	0.0104398590487544
mdescubierto_preacordado_delta1	0.0109316949677995	0.0048200367069114	0.00118335933802002
Master_status	0.0100664906822192	0.00180637065955615	0.000797671850072755
cproductos_delta1	0.00942860280337536	0.00391539835598569	0.00131484370891113
mpasivos_margen	0.00929469226636941	0.0079413775218999	0.0102294840553286
cliente_edad_lag1	0.00849430551716393	0.0089344593923412	0.0142529058045967
mactivos_margen	0.00845655837013115	0.00801192203667241	0.0130344839676724
numero_de_cliente	0.00826182456931108	0.00969729995102693	0.0165757963570064
mrentabilidad_annual	0.00825612799449957	0.00733037544505333	0.0111761715257446
cliente_edad	0.00806842240735055	0.0090048954990744	0.01440192142494
ctrx_quarter_delta1	0.00801758966933158	0.00732104121322976	0.011921249627461
Visa_status	0.00797780102966262	0.000866865717046821	0.000447046861029786
mrentabilidad_annual_delta1	0.00785463902170775	0.0063385457604551	0.0128153433495205
Master_fechaalta	0.00690789140681631	0.00807120148869595	0.0111498746515664
mcuenta_corriente_lag1	0.00653205774413518	0.0072870429615896	0.0107028277905366
Visa_Fvencimiento_lag1	0.00650968359727471	0.00505200809111845	0.0118774215038306
mprestamos_personales_delta1	0.00616355242113834	0.00989190498180288	0.00332217177118213
Master_Fvencimiento	0.00608516210862041	0.00607592778464091	0.0108869059097842
Visa_Fvencimiento	0.00585704880250252	0.00756493540733283	0.0114829683911572
Visa_fechaalta_lag1	0.00583447830208021	0.00431247526088303	0.00937921845689942
mcaja_ahorro_lag1	0.00581653522040581	0.00556695465235161	0.00910748409039112
mrentabilidad	0.00572784893554509	0.00470786803805426	0.0088094528497046
mcuentas_saldo_delta1	0.00550613555023495	0.00867131781568514	0.0100191090619028
chomebanking_trx	0.00549985537956168	0.00441149444177504	0.00899353096895216
mcaja_ahorro_dolares_delta1	0.00537736298105715	0.00546732927767498	0.00610964043407374
Master_Fvencimiento_lag1	0.00531809418861171	0.00439351445753272	0.0102294840553286
Visa_fechaalta	0.00522843029847529	0.0054525493666042	0.0104310934240283
mrentabilidad_annual_lag1	0.00509057141348032	0.00594820175542191	0.00885328097333497
Master_fechaalta_lag1	0.00503125347137046	0.00522190407932017	0.0102031871811504
mcomisiones_mantenimiento	0.00477361152416315	0.00662661004570758	0.00469837485317579
mcaja_ahorro_delta1	0.00470149235788847	0.00708347018116405	0.00778387475675391
ccaja_ahorro	0.00457477270283009	0.00405960632554173	0.00298907803159131
mcuenta_corriente_delta1	0.00452703400702315	0.00747920677546914	0.00837117161340089
mtransferencias_recibidas	0.00449939513061922	0.00466960007701067	0.00703003103031153
Visa_mpagominimo	0.00446457517737055	0.00651405614799922	0.0088094528497046
mactivos_margen_lag1	0.00444282922175154	0.00601101349632355	0.00770498413421925
mprestamos_personales_lag1	0.00435987621876765	0.00292655799810131	0.00150768745288477
Visa_mfinanciacion_limite	0.00428400815419841	0.00475690312244021	0.00623235918023878
mactivos_margen_delta1	0.00428276777731396	0.00421027121928708	0.00775757788257569
ctarjeta_visa_trx	0.00428004702935369	0.00599419934027995	0.010623937168002
Visa_mpagospesos_lag1	0.00424697439308684	0.00515517459019729	0.00802931224908399
cliente_antiguedad	0.0041140938770775	0.0039280590473909	0.00832734348977052
cliente_antiguedad_lag1	0.00408449751116257	0.00457839203724687	0.00823968724250977
mrentabilidad_delta1	0.00408056077558562	0.00417997643520082	0.00786276537928858
Visa_msaldototal	0.00398207837846391	0.00259107906358475	0.00433021861468067
Visa_mpagominimo_lag1	0.00393291461828222	0.00575398003273106	0.00709139040339405
mcuentas_saldo_lag1	0.00392858908798515	0.0070300227896986	0.00785399975456251
chomebanking_trx_delta1	0.00384222849992787	0.00694969734973575	0.0073455935204502
cproductos	0.00381817132335752	0.0071006075637288	0.00753843726442384
Master_mfinanciacion_limite	0.00379775919699276	0.00535757854602898	0.00731929664627198
Visa_fultimo_cierre	0.00375982917716962	0.00395738645683303	0.00655668729510352
mcaja_ahorro_dolares_lag1	0.00373695401994448	0.00403573796387894	0.00691607790887257
mrentabilidad_lag1	0.0037368420834949	0.00321116152380566	0.00692484353359864
Visa_mpagospesos_delta1	0.00360504291164908	0.00461726334934124	0.00808190599744044
ctrx_quarter_lag1	0.00360420800725432	0.00727179876293447	0.00831857786504444
ccomisiones_mantenimiento_delta1	0.00349927267021629	0.00479953252867668	0.00149015620343262
mtransferencias_recibidas_lag1	0.00348552141389044	0.00618450177813667	0.00726670289791553
mtarjeta_visa_consumo_lag1	0.00338647308617096	0.00488423470313065	0.00350624989042969
Master_mfinanciacion_limite_lag1	0.00335301926876299	0.00510914035712185	0.00614470293297803
mcaja_ahorro_dolares	0.00316671532143175	0.00559694872129553	0.00627618730386915
chomebanking_trx_lag1	0.0031249291663497	0.00396462789873271	0.00675829666380323
mcomisiones_otras	0.00305071197858855	0.00373363502961324	0.00539085920653565
Visa_mconsumospesos_lag1	0.0030382736724571	0.00301245004874571	0.00620606230606055
Master_fultimo_cierre_lag1	0.00290407946263094	0.0034508841980689	0.00559246857523536
Visa_Finiciomora	0.00287379148380876	0.00539298448873657	0.0011921249627461
thomebanking	0.00287180578950018	0.00176322917707449	0.00161287494959766
Visa_mpagospesos	0.00284826273752985	0.00500486795774695	0.00652162479619923
Visa_mfinanciacion_limite_lag1	0.0028417583336379	0.00290668659705419	0.00524184358619239
mcomisiones	0.00283774652255254	0.00262317007130736	0.00503146859276661
Master_fultimo_cierre	0.00283001907685734	0.00290215881351609	0.00579407794393507
Visa_cconsumos_lag1	0.00282081165099251	0.00424862192693473	0.00532949983345313
mpasivos_margen_lag1	0.00281099575792892	0.00468121979001438	0.00627618730386915
Visa_mpagominimo_delta1	0.00278638091671184	0.00347581097868948	0.00538209358180958
mpasivos_margen_delta1	0.00274760077807161	0.0037830554965117	0.00592556231482618
Visa_fultimo_cierre_lag1	0.00269423854308009	0.00306965668681293	0.00557493732578321
mcuenta_debitos_automaticos	0.00265951662732337	0.00636167946749576	0.00426885924159815
ccomisiones_otras	0.00262339490293465	0.00520136202357774	0.00466331235427149
Visa_mconsumospesos	0.00258756037920262	0.00294657952622766	0.00601321856208692
mcomisiones_mantenimiento_lag1	0.00246013350189566	0.00609122876114227	0.00416367174488526
ccomisiones_mantenimiento	0.00239875003115889	0.00274020027602204	0.00120089058747217
